ID,Priority,Category,Task,Status,Risk,Owner,Notes
S-01,Critical,Security,JWT 만료 시간 미설정,Not Started,탈취된 토큰 무기한 사용 → 계정 탈취,D,"Access 15분, Refresh 7일 권장"
S-02,Critical,Security,Refresh Token Rotation 미구현,Not Started,토큰 유출 시 복구 불가,D,Refresh 사용 시 이전 토큰 무효화
S-03,Critical,Security,OAuth 콜백 URL 화이트리스트 미설정,Not Started,피싱·리다이렉트 공격 가능,D,Supabase 대시보드에서 프로덕션/개발 도메인만 등록
S-04,Critical,Security,localStorage 기반 세션 XSS 취약,Partial,XSS 발생 시 세션 탈취,C+D,Supabase Auth SDK 기본 세션 관리로 전환 중
S-05,Critical,Security,Admin role 서버 측 미검증,Not Started,일반 사용자가 관리자 기능 접근 가능,D,RLS/미들웨어에서 role 검증 필수. 클라이언트 체크는 UX용만
S-06,Critical,Security,Lemonsqueezy 웹훅 서명 검증 미구현,Not Started,가짜 웹훅으로 무료 라이선스 발급 가능,D,HMAC X-Signature 헤더 검증 필수
S-07,Critical,Security,결제 상태 클라이언트 변조 방지 미구현,Not Started,사용자가 자신의 플랜을 Pro로 조작 가능,D,"RLS로 subscriptions UPDATE 차단, 웹훅에서만 변경"
S-08,Critical,Security,구독 만료 후 서버 측 접근 차단 미구현,Not Started,만료된 구독자가 다운로드 계속,D,다운로드 API에서 expires_at 서버 측 체크
S-09,Critical,Security,RLS(Row Level Security) 정책 미설정,Not Started,타 사용자 데이터 노출 → GDPR 중대 위반,D,"모든 테이블에 RLS 활성화, 본인 데이터만 접근"
S-10,Critical,Security,서버 측 입력 검증 미구현,Not Started,"SQL Injection, 잘못된 데이터 저장",D,"이메일 형식, 문자열 길이, 숫자 범위 검증"
B-01,Critical,Backend,서버 기술 스택 결정 미완료,In Progress,개발 착수 자체가 불가,A→Captain,"2026-04-19 A가 3안 비교 리포트 작성 → 1안 Supabase 추천. docs/analysis/backend-stack-comparison.md 참조"
B-02,Critical,Backend,DB 스키마 설계 미완료,Not Started,데이터 저장 불가,D,"users, subscriptions, license_keys, themes, downloads, payments"
B-03,Critical,Backend,인증 시스템 미구현,Not Started,회원가입/로그인 불가,D,GitHub/Google OAuth + 이메일 인증 API
B-04,Critical,Backend,결제 연동 미구현,Not Started,수익화 불가,D,Lemonsqueezy 웹훅 수신·처리
B-05,Critical,Backend,다운로드 시스템 미구현,Not Started,구매 후 테마 제공 불가,D,권한 확인 + 서명된 URL 생성 + 다운로드 기록
B-06,Critical,Backend,관리자 백엔드 API 미구현,Waiting,사이트 운영 불가,D,"Phase 5 대기. CRUD, 릴리즈 노트 발행, 정성 분석"
B-07,Critical,Backend,개인정보 삭제·다운로드 API 미구현,Not Started,GDPR 제17·20조 위반 → 과징금 매출 4%,D,settings 페이지에서 호출 가능해야 함
L-01,Critical,Legal,이용약관 실제 내용 미작성,In Progress,분쟁 시 법적 보호 부재,F→Captain→Lawyer,2026-04-19 F가 16개 섹션 영문+한글 초안 작성 (terms.html). 법무 검토 포인트 5건 정리됨
L-02,Critical,Legal,개인정보처리방침 미작성,In Progress,GDPR 위반 → 과징금,F→Captain→Lawyer,2026-04-19 F가 GDPR+PIPA 대응 14개 섹션 초안 작성 (privacy.html). EU 대리인 지정 여부 검토 필요
L-03,Critical,Legal,환불 정책 미명시,In Progress,EU 14일 철회권 분쟁,F→Captain→Lawyer,"2026-04-19 F가 ""즉시 이용 개시 동의"" 모델 초안 작성 (refund-policy.md). 체크박스 문구 법적 적합성 검토 필요"
L-04,Critical,Legal,비밀번호 저장 방식 미확정,Not Started,평문 저장 시 형사처벌 가능,D,"bcrypt 해싱 필수, Supabase Auth 사용 시 자동 처리"
P-01,Critical,Payment,Lemonsqueezy 웹훅 처리 미구현,Not Started,결제해도 구독 상태 미반영,D,subscription_created/updated/cancelled/payment_success/failed 전 이벤트
P-02,Critical,Payment,라이선스 키 발급 시스템 미구현,Not Started,구매자에게 키 전달 불가,D,자동 생성/검증/해제 로직
P-03,Critical,Payment,결제 UI 실제 동작 미연동,Not Started,pricing.html 결제 버튼이 가짜,C+D,Lemonsqueezy Checkout 연동
P-04,Critical,Payment,환불 시 라이선스 해제 미구현,Not Started,환불 후에도 다운로드 계속 → 수익 손실,D,refund 웹훅 수신 시 license_keys.status = revoked
F-01,Critical,Frontend,테마 다운로드 기능 미구현,Not Started,구매자에게 상품 제공 불가,C,themes/download.html 다운로드 버튼/체크박스 JS 핸들러 완전 누락
S-11,Major,Security,CSRF 방어 미구현,Not Started,Cross-Site Request Forgery 공격,D,SameSite 쿠키 + CSRF 토큰
S-12,Major,Security,XSS 방지 미완료,Not Started,악성 스크립트 주입,C+D,CSP 헤더 + 입력 이스케이프
S-13,Major,Security,Rate Limiting 미설정,Not Started,API 남용·DDoS,D,"로그인 API 분당 5회, 다운로드 분당 10회 등"
S-14,Major,Security,CORS 설정 미검토,Not Started,타 도메인 무단 요청,D,프로덕션 도메인만 허용
S-15,Major,Security,보안 HTTP 헤더 미설정,Not Started,"클릭재킹, MIME 스니핑",D,"X-Frame-Options, X-Content-Type-Options, Strict-Transport-Security"
L-05,Major,Legal,한국 사업자등록,Not Started,수익 발생 시 조세 문제,Captain,간이과세자로 시작 가능
L-06,Major,Legal,한국 통신판매업 신고,Not Started,"미신고 시 과태료 최대 3,000만원",Captain,관할 구청 신고. 간이과세 기준 초과 시 필수
L-07,Major,Legal,이메일 마케팅 동의 (CAN-SPAM / GDPR),Not Started,스팸법 위반 과징금,F+D,opt-in 체크박스 + 모든 메일에 unsubscribe 링크 (Loops 자동)
L-08,Major,Legal,CCPA (캘리포니아) 대응,Waiting,미국 이용자 증가 시 리스크,F,"GDPR 대응으로 대부분 커버. ""Do Not Sell My Info"" 링크 별도"
P-05,Major,Payment,Subscriber 구독 취소/변경 미연동,Not Started,구독자 이탈 시 불편,C+D,subscriber/billing.html Cancel/Change Plan 버튼
P-06,Major,Payment,Subscriber 비밀번호 변경 미연동,Not Started,가짜 성공 메시지만 표시,C+D,subscriber/settings.html
P-07,Major,Payment,Admin 설정 저장 미연동,Not Started,가짜 성공 메시지만 표시,C+D,admin/settings.html
P-08,Major,Payment,Checkout 페이지 하드코딩,Partial,실제 결제 정보 미반영,C+D,checkout/success.html 라이선스 키/플랜/금액 DB 연동
F-02,Major,Frontend,Admin 데이터 렌더링 미완료,Partial,관리자 기능 사용 불가,C,5개 admin 페이지 console.log만 → UI 렌더링 필요
F-03,Major,Frontend,Admin CRUD 버튼 미동작,Not Started,테마/컴포넌트 관리 불가,C+D,"admin/themes.html, components.html 추가/수정/삭제"
F-04,Major,Frontend,컴포넌트 상세 탭 미동작,Partial,코드 복사 불가 → 핵심 UX 상실,C,HTML/CSS 탭 전환 JS + Copy 버튼 + 파일명 불일치
F-05,Major,Frontend,Reset Password API 미호출,Partial,비밀번호 재설정 작동 안 함,C+D,Supabase updateUser 연동 (일부 완료)
F-06,Major,Frontend,연락 폼 이메일 미전송,Not Started,문의 접수 불가,D,contact.html MergeDB 미로드 시 전송 안 됨
F-07,Major,Frontend,OAuth 처리 불일치,Not Started,로그인·회원가입 동작 차이,C+D,login(직접 URL) vs signup(MergeDB 호출) 통일 필요
F-08,Major,Frontend,CSS 변수 중복 선언,Not Started,"유지보수 지옥, 스타일 충돌",B+C,tokens.css 링크하면서 각 페이지 :root 재선언
F-09,Major,Frontend,인라인 스타일 다수,Not Started,"일관성 저하, 커스터마이징 어려움",B+C,admin/subscriber stat-card 등
F-10,Major,Frontend,Nav 스타일 충돌,Not Started,디자인 일관성 저하,B+C,nav.css 있는데 각 페이지에서 재정의
F-11,Major,Frontend,모바일 사이드바 미대응,Not Started,모바일 구독자 이탈,C,admin/subscriber dashboard 768px 이하 대안 네비 없음
F-12,Major,Frontend,ARIA 속성 거의 부재,Not Started,접근성 장애인 차별 소송 가능,C,"aria-label, role 등 전반 추가 필요"
M-01,Major,SEO_Marketing,og:image 파일 없음,In Progress,소셜 공유 시 깨진 이미지,B(Done)→C,"2026-04-19 B가 1200x630 SVG + HTML 목업 작성, landing/index.html 메타태그 교체 완료. 카카오톡/일부 메일 클라이언트 대응 위해 C가 Playwright로 PNG export 필요"
M-02,Major,SEO_Marketing,연간 가격 토글 미구현,Not Started,연간 35% 할인 노출 불가 → 전환율 손실,C,pricing.html Monthly/Yearly 전환
M-03,Major,SEO_Marketing,JSON-LD 구조화 데이터 미추가,Not Started,구글 리치 스니펫 미확보,C,Product + FAQ 스키마
M-04,Major,SEO_Marketing,robots.txt AI 크롤러 미설정,Not Started,"AI 검색(ChatGPT, Perplexity) 노출 불가",C+D,GPTBot/ClaudeBot/PerplexityBot 허용
F-13,Minor,Frontend,다운로드 필터/검색 미동작,Not Started,사용성 저하,C,subscriber/downloads.html 날짜 필터 핸들러
F-14,Minor,Frontend,라이선스 키 복사 로직 허점,Not Started,빈 값 복사 가능,C,"""--"" 복사 가능. 빈 값 체크 필요"
F-15,Minor,Frontend,Export / Refund 기능 미구현,Not Started,관리자 운영 효율 저하,C+D,"admin/subscribers.html Export CSV, orders.html Refund"
F-16,Minor,Frontend,계정 삭제 미연동,Not Started,GDPR 삭제권 미이행,C+D,subscriber/settings.html Delete Account
F-17,Minor,Frontend,키보드 포커스 스타일 미정의,Not Started,접근성 저하,C,Tab 탐색 시 포커스 위치 불명확
F-18,Minor,Frontend,언어 설정 불일치,Not Started,SEO/접근성 불일치,C,"admin/dashboard.html lang=""ko"" vs subscriber lang=""en"""
M-05,Minor,SEO_Marketing,메타 디스크립션 초과,Not Started,SERP 잘림,F+C,landing meta description 120자 초과
M-06,Minor,SEO_Marketing,실제 고객 로고 미추가,Waiting,소셜 프루프 부재,F+C,초기엔 고객 없으므로 런칭 후 축적 필요
M-07,Minor,SEO_Marketing,비교 페이지 미제작,Waiting,AI 검색 노출 불가,F+C,MergeUi vs Tailwind UI vs shadcn/ui (AI 검색 최적화)
